samb01,samb02,samb03,samb04,samb05,samb06,samb07,samb08,samb09,samb10,samb11,samb12,samb13,samb14,samb15,samb16,samb17,samb18,samb19,gender,age,id,semester,ethnic,SAmb_tot
0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,18.3,1235,9,1,4
0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,18.5,1236,9,1,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.93,1237,9,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.84,1238,9,1,0
0,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,1,1,1,0,NA,1239,9,1,10
1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,NA,1240,9,1,11
0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,NA,1241,9,1,11
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,NA,1242,9,1,2
0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,NA,1243,9,1,7
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,NA,1245,9,1,4
1,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,NA,1246,9,4,9
0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,NA,1248,9,1,14
1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,NA,1249,9,1,15
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18.06,1250,9,2,2
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18.25,1251,9,1,2
0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,18.34,1252,9,NA,15
0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,19.69,1253,9,1,11
1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,19.09,1254,9,1,10
0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,NA,1900,9,2,5
0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,NA,1901,9,1,7
1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0,NA,1902,9,1,14
0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,NA,1903,9,1,10
0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,NA,1904,9,1,3
0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,NA,1905,9,1,6
1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,NA,1907,9,3,15
0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,NA,1909,9,1,6
0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,1910,9,1,3
0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,NA,1911,9,1,4
0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,NA,1912,9,1,8
0,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,NA,1913,9,1,7
0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,NA,1914,9,1,13
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,1915,9,1,1
1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,NA,1916,9,1,13
0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,NA,1917,9,2,6
0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,NA,1918,9,2,13
1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,NA,1919,9,1,13
0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,NA,1920,9,1,10
0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,NA,1921,9,1,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.26,2006,9,1,0
0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,18,2007,9,1,7
0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,1,19.51,2008,9,1,8
0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,18.58,2009,9,1,4
1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,29.15,2010,9,2,4
0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,19.02,2011,9,1,7
0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,18.84,2012,9,1,8
0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,18.98,2013,9,1,11
0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,19.23,2014,9,1,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.78,2015,9,1,0
0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,18.46,2016,9,1,7
0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,18.59,2017,9,1,13
0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,21.03,2018,9,2,13
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.09,2019,9,1,1
1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,18.23,2020,9,NA,15
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,19.61,2021,9,1,2
0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,18.8,2022,9,2,10
0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,18.24,2023,9,1,7
0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,1,18.84,2024,9,1,11
1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,19.24,2026,9,3,16
1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,19.05,2027,9,2,11
1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,19.29,2028,9,1,7
0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,18.02,2029,9,6,3
0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,20.45,2030,9,1,3
0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,18.07,2031,9,6,4
0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,18.3,2032,9,1,4
1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18.76,2033,9,1,17
0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,34.98,2034,9,2,6
1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,18.03,2035,9,1,9
0,0,1,0,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,19.66,2037,9,1,2
0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,18,2038,9,1,6
0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,18.61,2040,9,2,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.45,2041,9,1,0
0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,20.52,2042,9,1,6
0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,18.64,2044,9,1,5
0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,18.01,2045,9,2,15
0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,18.39,2046,9,1,10
0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,19.91,2047,9,4,9
1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,18.94,2048,9,1,12
0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,18.85,2049,9,1,3
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,18.64,2050,9,NA,1
1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,NA,2052,9,1,15
0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,NA,2053,9,1,3
0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,18.08,2054,9,2,15
0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,20.4,2055,9,1,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.31,2056,9,1,0
0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0,1,19.6,2057,9,4,11
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,18.82,2058,9,1,2
0,1,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,1,0,1,19.21,2059,9,2,10
